"attempt","ip_address","created_date","reason","uuid","model"
1054339,"172.71.186.93","2023-11-22 12:17:28.829565","Bad credentials",NULL,NULL
1054338,"172.64.236.60","2023-11-22 12:08:36.827534","Bad credentials","d66304e5-0ec3-44a6-a2ac-c6283addb1a4","iPhone 12 Pro Max"
1054480,"188.114.111.8","2023-11-22 11:35:55.666572","Bad credentials","c8772139-c0d8-4da4-9271-cf8f7bc441a2","iPhone 11"
1054479,"188.114.111.8","2023-11-22 11:35:50.238648","Bad credentials","c8772139-c0d8-4da4-9271-cf8f7bc441a2","iPhone 11"
1054481,"172.64.236.137","2023-11-22 11:34:08.708458","Bad credentials",NULL,NULL
1054334,"172.69.15.145","2023-11-22 11:22:49.953572","ERR-404002","5c8c50fd-aeb8-43ec-acbe-cad18a879d34","Mi A2"
1054333,"172.64.236.60","2023-11-22 11:12:09.261077","Bad credentials","9d8b9115-ed20-4598-bd3a-29cf61b465ba","SM-A217F"
1054332,"172.64.236.60","2023-11-22 11:11:38.68282","Bad credentials","9d8b9115-ed20-4598-bd3a-29cf61b465ba","SM-A217F"
1054331,"172.64.236.60","2023-11-22 11:11:13.950188","Bad credentials","9d8b9115-ed20-4598-bd3a-29cf61b465ba","SM-A217F"
1054478,"172.68.134.65","2023-11-22 10:57:56.585948","Bad credentials",NULL,NULL
1054329,"172.64.238.143","2023-11-22 10:51:43.510142","ERR-401008",NULL,NULL
1054477,"172.64.236.95","2023-11-22 10:21:42.241047","Bad credentials",NULL,NULL
1054476,"172.71.130.154","2023-11-22 10:19:01.832938","Bad credentials","5eefb452-f960-4fff-9403-51841e0c7cc3","SM-A515F"
1054475,"172.71.130.155","2023-11-22 10:18:55.158446","Bad credentials","5eefb452-f960-4fff-9403-51841e0c7cc3","SM-A515F"
1054325,"172.71.186.162","2023-11-22 09:57:57.137564","Bad credentials",NULL,NULL
1054474,"172.71.186.32","2023-11-22 00:03:18.279422","Bad credentials",NULL,NULL
1054473,"172.64.238.28","2023-11-21 23:06:43.000774","Bad credentials",NULL,NULL
1054472,"172.71.186.155","2023-11-21 22:56:47.408178","Bad credentials","2acb8e1c-29dd-4fa7-b24e-dcc25c510e3f","iPhone 11 Pro Max"
1054471,"172.64.236.61","2023-11-21 22:44:28.693023","Bad credentials",NULL,NULL
1054470,"172.70.57.136","2023-11-21 22:11:34.751672","Bad credentials","1a12d755-bcc3-4536-8718-7303f3fee752","M2006C3LG"
1054469,"172.70.57.137","2023-11-21 22:10:21.131819","Bad credentials","1a12d755-bcc3-4536-8718-7303f3fee752","M2006C3LG"
1054468,"172.70.57.137","2023-11-21 22:09:55.779657","Bad credentials","1a12d755-bcc3-4536-8718-7303f3fee752","M2006C3LG"
1054467,"162.158.22.249","2023-11-21 22:08:51.018147","Bad credentials",NULL,NULL
1054466,"172.71.186.93","2023-11-21 21:54:47.811594","Bad credentials",NULL,NULL
1054465,"162.158.23.56","2023-11-21 21:14:21.466667","Bad credentials",NULL,NULL
1054464,"172.71.186.84","2023-11-21 21:00:34.372806","Bad credentials",NULL,NULL
1054463,"172.64.236.137","2023-11-21 20:16:30.474611","Bad credentials","977220ae-97e8-4daf-abc1-424b947cce2e","iPhone 12"
1054462,"172.64.236.136","2023-11-21 20:16:19.96761","Bad credentials","977220ae-97e8-4daf-abc1-424b947cce2e","iPhone 12"
1054461,"172.64.236.137","2023-11-21 20:16:07.054473","Bad credentials","977220ae-97e8-4daf-abc1-424b947cce2e","iPhone 12"
1054460,"172.64.236.60","2023-11-21 20:04:00.8571","Bad credentials",NULL,NULL
1054459,"172.64.236.60","2023-11-21 20:03:57.574421","Bad credentials",NULL,NULL
1054458,"172.64.236.60","2023-11-21 20:03:52.67953","Bad credentials",NULL,NULL
1054457,"172.64.236.95","2023-11-21 19:57:39.070218","Bad credentials",NULL,NULL
1054306,"172.71.186.221","2023-11-21 19:52:06.7873","Bad credentials",NULL,NULL
1054456,"172.64.236.60","2023-11-21 19:47:17.650616","Bad credentials",NULL,NULL
1054455,"188.114.111.137","2023-11-21 19:10:05.521506","Bad credentials",NULL,NULL
1054454,"188.114.111.137","2023-11-21 19:10:00.896655","Bad credentials",NULL,NULL
1054453,"188.114.111.137","2023-11-21 19:09:46.454098","Bad credentials",NULL,NULL
1054452,"188.114.111.137","2023-11-21 19:09:34.198237","Bad credentials",NULL,NULL
1050907,"172.64.236.137","2023-11-21 17:59:38.077042","Bad credentials",NULL,NULL
1050856,"162.158.22.248","2023-11-21 17:20:38.455156","Bad credentials",NULL,NULL
1050906,"172.71.135.111","2023-11-21 17:10:25.613134","Bad credentials","7497cf9e-9ab3-4c39-a63f-13f95a601de0","SM-A217F"
1050903,"172.64.238.119","2023-11-21 16:26:43.44982","Bad credentials",NULL,NULL
1050904,"162.158.22.92","2023-11-21 16:26:34.297802","Bad credentials",NULL,NULL
1050902,"188.114.111.128","2023-11-21 15:15:07.239395","Bad credentials",NULL,NULL
1050901,"188.114.111.128","2023-11-21 15:15:03.129273","Bad credentials",NULL,NULL
1037450,"188.114.111.128","2023-11-21 15:14:50.441763","Bad credentials",NULL,NULL
1037449,"172.64.236.137","2023-11-21 14:23:09.279287","Bad credentials",NULL,NULL
1037448,"172.64.238.29","2023-11-21 14:16:01.393973","Bad credentials",NULL,NULL
1037397,"172.64.236.60","2023-11-21 13:32:39.57413","ERR-401008",NULL,NULL
1037447,"172.64.238.143","2023-11-21 13:25:05.634564","Bad credentials",NULL,NULL
1037446,"172.64.238.143","2023-11-21 13:25:00.68033","Bad credentials",NULL,NULL
1037445,"162.158.23.55","2023-11-21 11:40:02.169132","Bad credentials",NULL,NULL
1037444,"172.68.134.47","2023-11-21 10:58:46.958959","Bad credentials",NULL,NULL
1037443,"172.71.186.24","2023-11-21 10:47:39.77396","Bad credentials",NULL,NULL
1037442,"172.71.186.24","2023-11-21 10:46:58.20227","Bad credentials",NULL,NULL
1037441,"172.64.236.137","2023-11-21 10:17:54.35635","Bad credentials",NULL,NULL
